Description,n,Title
NYPD Officer,13322,POLICE OFFICER (RECURRING NIGH
FDNY Firefighter,5661,FIREFIGHTER
NYPD Seargant,1318,SERGEANT (RECURRING NIGHT SHIF
NYCHA Building Super,174,RESIDENT BUILDING SUPERINTENDE
NYCHA Housing Manager,161,HOUSING MANAGER (HA)
52 other titles,371,52 other titles
